Dataset,Split,Axis,Coverage,n_kept,mean_axis_score_kept,V2_R@1,V2_risk,rho,candidate_pool,uncertainty_k,mean_alpha_full,mean_SU_full,mean_LU_full
Nordland-clean,full,joint_variance_unweighted,0.9,360,1.4795912504196167,54.72222222222223,45.27777777777777,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,joint_variance_unweighted,1.0,400,1.6114038228988647,50.5,49.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.05,20,0.03440957888960838,75.0,25.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.1,40,0.05058971047401428,72.5,27.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.2,80,0.07777267694473267,77.5,22.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.3,120,0.10387113690376282,72.5,27.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.4,160,0.12559381127357483,63.125,36.875,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.5,200,0.14578430354595184,59.0,41.0,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.6,240,0.16770508885383606,56.25,43.75,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.7,280,0.1908891350030899,55.714285714285715,44.285714285714285,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.8,320,0.21580080687999725,53.43750000000001,46.56249999999999,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,0.9,360,0.24386289715766907,51.388888888888886,48.611111111111114,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
Nordland-clean,full,language_weight_1_minus_alpha,1.0,400,0.2875187397003174,50.5,49.5,3.0,10,10,0.7124812602996826,0.8055589199066162,0.895315408706665
