Dataset,Split,Uncertainty_axis,Coverage,n_kept,mean_uncertainty_kept,rho,candidate_pool,uncertainty_k,mean_LU_full,mean_SU_full,mean_alpha_full,B1 visual-only_R@1,B1 visual-only_risk,B2 fixed fusion_R@1,B2 fixed fusion_risk,V1 sigmoid+threshold_R@1,V1 sigmoid+threshold_risk,V2 calibrated precision_R@1,V2 calibrated precision_risk
MSLS-val held-out,heldout,joint_variance,0.6,311,1.1453498601913452,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,92.92604501607717,7.073954983922832,93.89067524115757,6.109324758842433,93.2475884244373,6.752411575562704,94.53376205787781,5.466237942122191
MSLS-val held-out,heldout,joint_variance,0.7,363,1.2562392950057983,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,91.46005509641874,8.539944903581258,91.73553719008265,8.264462809917347,91.73553719008265,8.264462809917347,92.56198347107438,7.4380165289256155
MSLS-val held-out,heldout,joint_variance,0.8,415,1.3666318655014038,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,89.1566265060241,10.843373493975903,89.39759036144578,10.60240963855422,89.39759036144578,10.60240963855422,90.12048192771084,9.879518072289159
MSLS-val held-out,heldout,joint_variance,0.9,467,1.476786494255066,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,87.15203426124198,12.84796573875802,86.7237687366167,13.276231263383295,87.79443254817987,12.20556745182013,87.15203426124198,12.84796573875802
MSLS-val held-out,heldout,joint_variance,1.0,518,1.6072770357131958,3.0,10,10,0.9160003662109375,0.7153035402297974,0.723717212677002,84.74903474903475,15.250965250965251,84.74903474903475,15.250965250965251,85.52123552123551,14.47876447876449,85.32818532818533,14.671814671814673
Nordland-clean,full,LU,0.05,20,0.7616593837738037,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,50.0,50.0,40.0,60.0,50.0,50.0,45.0,55.0
Nordland-clean,full,LU,0.1,40,0.7803736925125122,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.00000000000001,44.99999999999999,42.5,57.5,52.5,47.5,47.5,52.5
Nordland-clean,full,LU,0.2,80,0.804460883140564,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,48.75,51.25,41.25,58.75,48.75,51.25,48.75,51.25
Nordland-clean,full,LU,0.3,120,0.8234987854957581,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.00000000000001,44.99999999999999,45.0,55.0,52.5,47.5,50.83333333333333,49.16666666666667
Nordland-clean,full,LU,0.4,160,0.8372852206230164,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,52.5,47.5,43.75,56.25,50.625,49.375,48.125,51.875
Nordland-clean,full,LU,0.5,200,0.8490118384361267,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,51.0,49.0,44.5,55.5,50.5,49.5,48.0,52.0
Nordland-clean,full,LU,0.6,240,0.8593557476997375,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,52.083333333333336,47.916666666666664,45.0,55.0,52.5,47.5,49.166666666666664,50.833333333333336
Nordland-clean,full,LU,0.7,280,0.8686196208000183,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,54.64285714285714,45.35714285714286,47.85714285714286,52.14285714285714,55.00000000000001,44.99999999999999,52.142857142857146,47.857142857142854
Nordland-clean,full,LU,0.8,320,0.8773519396781921,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.625,44.375,48.4375,51.5625,55.93749999999999,44.06250000000001,53.125,46.875
Nordland-clean,full,LU,0.9,360,0.8861895203590393,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.27777777777778,44.72222222222222,47.5,52.5,55.55555555555556,44.44444444444444,52.77777777777778,47.22222222222222
Nordland-clean,full,LU,1.0,400,0.895315408706665,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,52.75,47.25,45.75,54.25,53.0,47.0,50.5,49.5
Nordland-clean,full,SU,0.05,20,0.5402199625968933,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,70.0,30.0,70.0,30.0,70.0,30.0,70.0,30.0
Nordland-clean,full,SU,0.1,40,0.5829547643661499,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,72.5,27.5,72.5,27.5,72.5,27.5,72.5,27.5
Nordland-clean,full,SU,0.2,80,0.636773407459259,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,71.25,28.75,67.5,32.5,71.25,28.75,71.25,28.75
Nordland-clean,full,SU,0.3,120,0.6725009679794312,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,73.33333333333333,26.66666666666667,66.66666666666666,33.33333333333334,73.33333333333333,26.66666666666667,71.66666666666667,28.33333333333333
Nordland-clean,full,SU,0.4,160,0.7002346515655518,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,74.375,25.625,67.5,32.5,74.375,25.625,72.5,27.5
Nordland-clean,full,SU,0.5,200,0.7228535413742065,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,69.5,30.5,63.0,37.0,70.0,30.0,68.0,32.0
Nordland-clean,full,SU,0.6,240,0.7424874901771545,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,65.41666666666667,34.58333333333333,58.75,41.25,66.25,33.75,63.74999999999999,36.25000000000001
Nordland-clean,full,SU,0.7,280,0.7604761719703674,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,61.42857142857143,38.57142857142857,54.64285714285714,45.35714285714286,62.857142857142854,37.142857142857146,60.71428571428571,39.28571428571429
Nordland-clean,full,SU,0.8,320,0.7761451601982117,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,55.3125,44.6875,50.0,50.0,56.875,43.125,55.3125,44.6875
Nordland-clean,full,SU,0.9,360,0.7906224727630615,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,54.72222222222223,45.27777777777777,48.05555555555556,51.94444444444444,55.00000000000001,44.99999999999999,52.77777777777778,47.22222222222222
Nordland-clean,full,SU,1.0,400,0.8055589199066162,3.0,10,10,0.895315408706665,0.8055589199066162,0.7124812602996826,52.75,47.25,45.75,54.25,53.0,47.0,50.5,49.5
